Repository Page,Component,Hook,API,Server Action,Database Table,Storage,Edge Function,AI,Build,Production URL,Status
,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/find-workone,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/find-workone/find-workone,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/find-workone/find-workone/[region],,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/attendance-policy,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/videos,videos,,,,videos,,,,Marketing,,✅ DB_ONLY
/videos/[videoId],videos,,,,videos,,,,Marketing,,✅ DB_ONLY
/syllabi,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/downloads,documents,,,,documents,,,,Marketing,,✅ DB_ONLY
/access-paused,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/proctor,,proctor/sessions?${params}`);
      if (!res.ok) throw new Error(,,,,,,,Marketing,,⚠️ API_ONLY
/proctor/session/[id],,proctor/sessions/${id}`);
      if (!res.ok) throw new Error(,proctor/sessions/${id}`, {
        method: ,,,,,,,Marketing,,⚠️ API_ONLY
/proctor/new,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/hire-graduates,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/hire-graduates/hire-graduates,students,,,,students,,,,Marketing,,✅ DB_ONLY
/implementation,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/instructor/[...path],,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/instructor/instructors/performance,instructor_assignments,instructor_profiles,,,,instructor_assignments,instructor_profiles,,,,Marketing,,✅ DB_ONLY
/career-training-indiana,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/dashboards,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/pay,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/pay/pay,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
/status,,,,,,,,,Marketing,,⚠️ PARTIAL_DB
