Route,Tables,Build,Status
/page.tsx,,Marketing,⚠️ PARTIAL_DB
/find-workone/page.tsx,,Marketing,⚠️ PARTIAL_DB
/find-workone/find-workone/page.tsx,,Marketing,⚠️ PARTIAL_DB
/find-workone/find-workone/[region]/page.tsx,,Marketing,⚠️ PARTIAL_DB
/attendance-policy/page.tsx,,Marketing,⚠️ PARTIAL_DB
/videos/page.tsx,videos,Marketing,✅ DB_ONLY
/videos/[videoId]/page.tsx,videos,Marketing,✅ DB_ONLY
/syllabi/page.tsx,,Marketing,⚠️ PARTIAL_DB
/downloads/page.tsx,documents,Marketing,✅ DB_ONLY
/access-paused/page.tsx,,Marketing,⚠️ PARTIAL_DB
/proctor/page.tsx,,Marketing,⚠️ PARTIAL_DB
/proctor/session/[id]/page.tsx,,Marketing,⚠️ PARTIAL_DB
/proctor/new/page.tsx,,Marketing,⚠️ PARTIAL_DB
/hire-graduates/page.tsx,,Marketing,⚠️ PARTIAL_DB
/hire-graduates/hire-graduates/page.tsx,students,Marketing,✅ DB_ONLY
/implementation/page.tsx,,Marketing,⚠️ PARTIAL_DB
/instructor/[...path]/page.tsx,,Marketing,⚠️ PARTIAL_DB
/instructor/instructors/performance/page.tsx,instructor_assignments;instructor_profiles,Marketing,✅ DB_ONLY
/career-training-indiana/page.tsx,,Marketing,⚠️ PARTIAL_DB
/dashboards/page.tsx,,Marketing,⚠️ PARTIAL_DB
/pay/page.tsx,,Marketing,⚠️ PARTIAL_DB
/pay/pay/page.tsx,,Marketing,⚠️ PARTIAL_DB
/status/page.tsx,,Marketing,⚠️ PARTIAL_DB
/status/application/page.tsx,,Marketing,⚠️ PARTIAL_DB
/payment-error/page.tsx,,Marketing,⚠️ PARTIAL_DB
/for-employers/page.tsx,,Marketing,⚠️ PARTIAL_DB
/credentials/page.tsx,,Marketing,⚠️ PARTIAL_DB
/government/page.tsx,,Marketing,⚠️ PARTIAL_DB
/schools/mesmerized-by-beauty/page.tsx,,Marketing,⚠️ PARTIAL_DB
/admin/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/learning-paths/page.tsx,learning_paths,Admin,✅ DB_ONLY
/admin/videos/page.tsx,videos,Admin,✅ DB_ONLY
/admin/videos/upload/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/exam-authorizations/page.tsx,exam_authorization_queue;profiles,Admin,✅ DB_ONLY
/admin/content/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/content/editor/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/instructor/dashboard/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/modules/page.tsx,modules;programs;training_modules,Admin,✅ DB_ONLY
/admin/sops/page.tsx,sop_templates,Admin,✅ DB_ONLY
/admin/sops/[id]/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/timeclock/page.tsx,admin_alerts;apprentice_sites;apprentices;profiles;progress_entries,Admin,✅ DB_ONLY
/admin/credentials/page.tsx,credential_registry,Admin,✅ DB_ONLY
/admin/system-health/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/enrollment-jobs/page.tsx,enrollment_jobs,Admin,✅ DB_ONLY
/admin/data-import/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/shops/page.tsx,shop_applications;shop_required_docs_status;shops,Admin,✅ DB_ONLY
/admin/shops/geocoding/page.tsx,profiles;shops,Admin,✅ DB_ONLY
/admin/promo-codes/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/organization/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/organization/profile/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/instructor-credentials/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/security/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/jobs/page.tsx,employers;job_applications;job_placements;job_postings,Admin,✅ DB_ONLY
/admin/jobs/new/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/courses/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/courses/create/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/jri/page.tsx,program_enrollments,Admin,✅ DB_ONLY
/admin/jri/reports/page.tsx,jri_participants,Admin,✅ DB_ONLY
/admin/jri/participants/page.tsx,jri_participants,Admin,✅ DB_ONLY
/admin/verifications/page.tsx,id_verifications;profiles,Admin,✅ DB_ONLY
/admin/verifications/review/page.tsx,id_verifications;profiles,Admin,✅ DB_ONLY
/admin/rapids/page.tsx,rapids_progress_updates;rapids_registrations;rapids_submissions,Admin,✅ DB_ONLY
/admin/grants/page.tsx,grants,Admin,✅ DB_ONLY
/admin/grants/workflow/page.tsx,grant_applications;grant_entities;grants;profiles,Admin,✅ DB_ONLY
/admin/grants/intake/page.tsx,grant_opportunities,Admin,✅ DB_ONLY
/admin/grants/snap-et/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/grants/revenue/page.tsx,grant_applications,Admin,✅ DB_ONLY
/admin/grants/applications/page.tsx,grant_applications,Admin,✅ DB_ONLY
/admin/grants/applications/new/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/grants/submissions/page.tsx,grant_submissions;profiles,Admin,✅ DB_ONLY
/admin/grants/opportunities/page.tsx,grant_opportunities,Admin,✅ DB_ONLY
/admin/student-access/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/employers/page.tsx,employers,Admin,✅ DB_ONLY
/admin/employers/onboarding/page.tsx,employer_onboarding;employer_onboarding_progress,Admin,✅ DB_ONLY
/admin/employees/page.tsx,employees,Admin,✅ DB_ONLY
/admin/cohorts/page.tsx,cohorts;programs,Admin,✅ DB_ONLY
/admin/licenses/page.tsx,licenses,Admin,✅ DB_ONLY
/admin/licenses/create/page.tsx,tenants,Admin,✅ DB_ONLY
/admin/referrals/page.tsx,referral_pipeline_summary;workforce_referrals,Admin,✅ DB_ONLY
/admin/apprenticeships/page.tsx,apprenticeship_enrollments;progress_entries,Admin,✅ DB_ONLY
/admin/video-generator/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/billing/page.tsx,addon_subscriptions;licenses;organization_subscriptions;subscription_plans,Admin,✅ DB_ONLY
/admin/billing/feature-flags/page.tsx,features,Admin,✅ DB_ONLY
/admin/billing/licenses/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/billing/usage/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/billing/subscriptions/page.tsx,organization_subscriptions,Admin,✅ DB_ONLY
/admin/billing/addons/page.tsx,saas_addon_catalog,Admin,✅ DB_ONLY
/admin/billing/plans/page.tsx,subscription_plans,Admin,✅ DB_ONLY
/admin/billing/invoices/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/affiliates/page.tsx,affiliate_applications;affiliate_payouts;affiliates,Admin,✅ DB_ONLY
/admin/communications/page.tsx,communications;email_templates;scheduled_messages,Admin,✅ DB_ONLY
/admin/communications/templates/page.tsx,email_templates,Admin,✅ DB_ONLY
/admin/communications/templates/new/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/communications/new/page.tsx,email_templates,Admin,✅ DB_ONLY
/admin/reports/page.tsx,profiles;program_completion_certificates;program_enrollments,Admin,✅ DB_ONLY
/admin/reports/charts/page.tsx,applications;enrollments;partner_completions;programs,Admin,✅ DB_ONLY
/admin/reports/leads/page.tsx,leads;profiles,Admin,✅ DB_ONLY
/admin/reports/users/page.tsx,profiles,Admin,✅ DB_ONLY
/admin/reports/reports/page.tsx,reports,Admin,✅ DB_ONLY
/admin/reports/caseload/page.tsx,profiles;program_enrollments,Admin,✅ DB_ONLY
/admin/reports/enrollment/page.tsx,courses;profiles;training_enrollments,Admin,✅ DB_ONLY
/admin/reports/financial/page.tsx,grant_applications;grant_opportunities;profiles;wotc_applications,Admin,✅ DB_ONLY
/admin/reports/partners/page.tsx,partner_enrollments;partner_inquiries;partners;profiles,Admin,✅ DB_ONLY
/admin/reports/wioa/page.tsx,participant_report;program_enrollments,Admin,✅ DB_ONLY
/admin/reports/samples/page.tsx,certificates;completions;courses;profiles;program_enrollments;programs,Admin,✅ DB_ONLY
/admin/operations/page.tsx,admin_alerts;cron_job_runs;workflow_dead_letters;workflow_runs;workflow_step_logs;workflows,Admin,✅ DB_ONLY
/admin/external-course-completions/page.tsx,external_course_completions;profiles,Admin,✅ DB_ONLY
/admin/mou/page.tsx,mou_signatures;mou_templates;partner_mous,Admin,✅ DB_ONLY
/admin/student-hours/page.tsx,apprenticeship_hours;profiles;programs,Admin,✅ DB_ONLY
/admin/hours-export/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/files/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/security/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/data/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/seo-indexing/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/governance/security/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/governance/operational-controls/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/compliance/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/legal/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/contact/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/governance/authoritative-docs/page.tsx,compliance_documents,Admin,✅ DB_ONLY
/admin/governance/operational-controls/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/programs/page.tsx,courses;programs,Admin,✅ DB_ONLY
/admin/programs/catalog/page.tsx,programs,Admin,✅ DB_ONLY
/admin/notifications/page.tsx,notification_logs;notifications;profiles,Admin,✅ DB_ONLY
/admin/tenants/page.tsx,tenants,Admin,✅ DB_ONLY
/admin/intelligence/page.tsx,student_risk_status,Admin,✅ DB_ONLY
/admin/intelligence/forecast/page.tsx,program_enrollments;programs,Admin,✅ DB_ONLY
/admin/site-audit/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/system/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/system/jobs/page.tsx,job_queue;profiles,Admin,✅ DB_ONLY
/admin/system/webhooks/page.tsx,profiles,Admin,✅ DB_ONLY
/admin/docs/page.tsx,profiles,Admin,✅ DB_ONLY
/admin/docs/mou/page.tsx,mou_documents,Admin,✅ DB_ONLY
/admin/barber-shop-applications/page.tsx,barbershop_partner_applications;profiles,Admin,✅ DB_ONLY
/admin/api-keys/page.tsx,api_keys,Admin,✅ DB_ONLY
/admin/signatures/page.tsx,signature_documents;signatures,Admin,✅ DB_ONLY
/admin/funding/page.tsx,ita_vouchers;profiles;program_enrollments,Admin,✅ DB_ONLY
/admin/store/page.tsx,license_purchases;purchases;store_products,Admin,✅ DB_ONLY
/admin/store/catalog/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/review-queue/page.tsx,applications;profiles;review_queue,Admin,✅ DB_ONLY
/admin/dev-studio/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dev-studio/api/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dev-studio/performance/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dev-studio/services/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dev-studio/deployments/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dev-studio/containers/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dev-studio/database/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dev-studio/subscriptions/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dev-studio/image-seo/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/autopilot/page.tsx,delivery_logs;notifications;profiles;program_enrollments,Admin,✅ DB_ONLY
/admin/activity/page.tsx,applications;audit_logs;enrollments;profiles,Admin,✅ DB_ONLY
/admin/provider-applications/page.tsx,profiles;provider_applications,Admin,✅ DB_ONLY
/admin/partner-enrollments/page.tsx,partner_course_enrollments;profiles,Admin,✅ DB_ONLY
/admin/contracts/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/pages/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/memory/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/deployments/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/media/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/tasks/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/builds/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/settings/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/agents/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/course/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/studio/workflows/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dashboard/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dashboard/program-integrity/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/dashboard/etpl/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/integrations/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/integrations/google-classroom/page.tsx,profiles,Admin,✅ DB_ONLY
/admin/integrations/quickbooks/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/integrations/stripe/page.tsx,barber_payments;barber_subscriptions;cosmetology_subscriptions;payment_integrity_flags;program_enrollments;stripe_sessions_staging,Admin,✅ DB_ONLY
/admin/integrations/calendly/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/integrations/gemini/page.tsx,,Admin,⚠️ PARTIAL_DB
/admin/integrations/teams/page.tsx,,Admin,⚠️ PARTIAL_DB
