# robots.txt for elevateforhumanity.org
User-agent: *
Allow: /

# Block admin and internal routes
Disallow: /admin/
Disallow: /api/
Disallow: /dev/
Disallow: /staging/
Disallow: /preview/

# Block auth and confirmation pages
Disallow: /login
Disallow: /apply/success
Disallow: /apply/employer/success
Disallow: /apply/staff/success
Disallow: /apply/program-holder/success
Disallow: /success
Disallow: /booking/success
Disallow: /checkout/success
Disallow: /*?redirect=
Disallow: /*?token=
Disallow: /*?auth=

# Sitemap location
Sitemap: https://www.elevateforhumanity.org/sitemap.xml
